,time,x,y,z
0,0.0,19.674591,-27.45862,-116.699135
1,0.00025,19.674591,-17.65197,-112.776475
2,0.0005,4.9646159999999995,-4.903325,-110.815145
3,0.00075,3.9839510000000002,11.76798,-104.931155
4,0.001,1.041956,22.555295,-94.14384
5,0.00125,-1.900038,15.69064,-76.49187
6,0.0015,14.771266,17.65197,-78.4532
7,0.00175,15.751931,3.92266,-76.49187
8,0.002,20.655256,-0.980665,-84.33719
9,0.00225,4.9646159999999995,-4.903325,-73.549875
10,0.0025,2.022621,-12.748645,-70.60788
11,0.00275,11.829271,-4.903325,-61.781895
12,0.003,7.906611,-1.9613300000000002,-50.99458
13,0.00325,8.887276,10.787315,-50.013915
14,0.0035,4.9646159999999995,14.709975,-42.168595
15,0.00375,-4.842033,7.84532,-40.207265
16,0.004,3.003286,0.980665,-33.34261
17,0.00425,4.9646159999999995,-11.76798,-24.516625
18,0.0045,14.771266,-20.593965,-24.516625
19,0.00475,8.887276,-16.671305,-22.555295
20,0.005,1.041956,-15.69064,-15.69064
21,0.00525,3.003286,-1.9613300000000002,-8.825985
22,0.0055,-1.900038,4.903325,7.84532
23,0.00575,-0.919373,10.787315,19.6133
24,0.006,-10.726023,14.709975,25.49729
25,0.00625,-8.764693,11.76798,26.477955
26,0.0065,-2.880703,11.76798,22.555295
27,0.00675,-2.880703,1.9613300000000002,35.30394
28,0.007,1.041956,-3.92266,40.207265
29,0.00725,-0.919373,-9.80665,50.013915
30,0.0075,-0.919373,-11.76798,57.859235
31,0.00775,0.061291,-12.748645,59.820565
32,0.008,-4.842033,-8.825985,63.743225
33,0.00825,-4.842033,-2.941995,68.64655
34,0.0085,-12.687353,-2.941995,78.4532
35,0.00875,-12.687353,-0.980665,80.41453
36,0.009,-8.764693,2.941995,81.395195
37,0.00925,-12.687353,6.864655,83.356525
38,0.0095,-9.745358,15.69064,84.33719
39,0.00975,-9.745358,11.76798,97.085835
40,0.01,-3.8613679999999997,-0.980665,106.892485
41,0.01025,2.022621,-0.980665,114.737805
42,0.0105,-4.842033,-8.825985,115.71847
43,0.01075,-4.842033,-4.903325,102.969825
44,0.011,-16.610013,-8.825985,101.98916
