"time","device_id","Transversal","Longitudinal","Vertical","Hit"
2022-09-21 10:03:59.724,nrf-351358817716894,4.36,6.80,23.7,SAFE
2022-09-21 10:03:59.724,nrf-351358817716894,2.83,1.85,3.32,SAFE
2022-09-21 10:03:59.724,nrf-351358817716894,2.85,1.93,2.08,SAFE
2022-09-21 10:03:59.724,nrf-351358817716894,2.76,1.78,2.00,SAFE
2022-09-21 10:03:59.724,nrf-351358817716894,2.77,2.06,1.99,SAFE
2022-09-21 09:04:04.809,nrf-351358817716894,18.1,7.60,38.4,SAFE
2022-09-21 09:04:04.809,nrf-351358817716894,0.383,0.604,9.55,SAFE
2022-09-21 09:04:04.809,nrf-351358817716894,0.281,0.619,9.38,SAFE
2022-09-21 09:04:04.809,nrf-351358817716894,0.274,0.584,9.44,SAFE
2022-09-21 09:04:04.809,nrf-351358817716894,0.232,0.593,9.41,SAFE
2022-09-21 04:51:23.723,nrf-351358817716894,3.47,4.48,13.6,SAFE
2022-09-21 04:51:23.723,nrf-351358817716894,3.04,2.63,9.03,SAFE
2022-09-21 04:51:23.723,nrf-351358817716894,2.93,2.38,10.1,SAFE
2022-09-21 04:51:23.723,nrf-351358817716894,2.73,2.56,7.08,SAFE
2022-09-21 04:51:23.723,nrf-351358817716894,3.10,2.50,10.9,SAFE
2022-09-20 23:40:50.728,nrf-351358817716894,10.5,4.36,19.4,SAFE
2022-09-20 23:40:50.728,nrf-351358817716894,6.22,3.06,17.8,SAFE
2022-09-20 23:40:50.728,nrf-351358817716894,0.356,0.584,9.33,SAFE
2022-09-20 23:40:50.728,nrf-351358817716894,0.281,0.563,9.50,SAFE
2022-09-20 23:40:50.728,nrf-351358817716894,0.296,0.512,9.36,SAFE
2022-09-20 21:08:02.586,nrf-351358817716894,5.00,8.01,30.3,SAFE
2022-09-20 21:08:02.586,nrf-351358817716894,5.10,7.93,28.6,SAFE
2022-09-20 21:08:02.586,nrf-351358817716894,4.95,7.46,31.1,SAFE
2022-09-20 21:08:02.586,nrf-351358817716894,2.54,1.91,3.42,SAFE
2022-09-20 21:08:02.586,nrf-351358817716894,2.72,1.81,2.24,SAFE
2022-09-20 19:31:20.648,nrf-351358817716894,10.5,4.12,18.7,SAFE
2022-09-20 19:31:20.648,nrf-351358817716894,0.504,0.693,9.43,SAFE
2022-09-20 19:31:20.648,nrf-351358817716894,0.387,0.570,9.42,SAFE
2022-09-20 19:31:20.648,nrf-351358817716894,0.229,0.651,9.48,SAFE
2022-09-20 19:31:20.648,nrf-351358817716894,0.264,0.620,9.45,SAFE
2022-09-20 16:36:09.848,nrf-351358817716894,4.20,5.89,21.7,SAFE
2022-09-20 16:36:09.848,nrf-351358817716894,2.87,1.97,9.88,SAFE
2022-09-20 16:36:09.848,nrf-351358817716894,2.68,2.07,2.02,SAFE
2022-09-20 16:36:09.848,nrf-351358817716894,2.89,1.85,1.98,SAFE
2022-09-20 16:36:09.848,nrf-351358817716894,2.83,1.85,2.09,SAFE
2022-09-20 14:07:38.866,nrf-351358817716894,26.0,7.49,40.7,SAFE
2022-09-20 14:07:38.866,nrf-351358817716894,16.2,8.12,24.6,SAFE
2022-09-20 14:07:38.866,nrf-351358817716894,7.13,2.90,19.6,SAFE
2022-09-20 14:07:38.866,nrf-351358817716894,0.355,0.719,9.32,SAFE
2022-09-20 14:07:38.866,nrf-351358817716894,0.314,0.716,9.32,SAFE
2022-09-20 13:04:43.690,nrf-351358817716894,5.32,9.49,33.1,SAFE
2022-09-20 13:04:43.690,nrf-351358817716894,4.74,9.42,25.6,SAFE
2022-09-20 13:04:43.690,nrf-351358817716894,5.34,12.5,31.6,SAFE
2022-09-20 13:04:43.690,nrf-351358817716894,4.18,7.92,22.4,SAFE
2022-09-20 13:04:43.690,nrf-351358817716894,3.02,1.92,2.73,SAFE
2022-09-20 12:02:05.949,nrf-351358817716894,23.3,8.64,29.3,SAFE
2022-09-20 12:02:05.949,nrf-351358817716894,23.6,10.4,51.8,SAFE
2022-09-20 12:02:05.949,nrf-351358817716894,22.8,8.38,35.3,SAFE
2022-09-20 12:02:05.949,nrf-351358817716894,17.7,6.78,31.4,SAFE
2022-09-20 12:02:05.949,nrf-351358817716894,10.0,2.95,18.5,SAFE
2022-09-20 11:37:56.632,nrf-351358817716894,2.86,1.89,1.98,SAFE
2022-09-20 11:37:56.632,nrf-351358817716894,2.63,1.75,2.07,SAFE
2022-09-20 11:37:56.632,nrf-351358817716894,2.86,2.22,2.15,SAFE
2022-09-20 11:37:56.632,nrf-351358817716894,2.83,1.85,2.11,SAFE
2022-09-20 11:37:56.632,nrf-351358817716894,2.90,1.87,2.27,SAFE
2022-09-20 11:26:13.716,nrf-351358817716894,18.2,9.72,52.2,SAFE
2022-09-20 11:26:13.716,nrf-351358817716894,14.3,7.11,37.6,SAFE
2022-09-20 11:26:13.716,nrf-351358817716894,0.418,0.660,9.40,SAFE
2022-09-20 11:26:13.716,nrf-351358817716894,0.276,0.662,9.44,SAFE
2022-09-20 11:26:13.716,nrf-351358817716894,0.242,0.689,9.39,SAFE
2022-09-20 11:11:56.582,nrf-351358817716894,4.42,7.77,28.3,SAFE
2022-09-20 11:11:56.582,nrf-351358817716894,5.84,9.93,39.0,SAFE
2022-09-20 11:11:56.582,nrf-351358817716894,3.63,5.83,14.5,SAFE
2022-09-20 11:11:56.582,nrf-351358817716894,2.68,1.90,2.22,SAFE
2022-09-20 11:11:56.582,nrf-351358817716894,2.85,1.96,2.03,SAFE
2022-09-20 10:21:03.468,nrf-351358817716894,7.16,2.40,12.1,SAFE
2022-09-20 10:21:03.468,nrf-351358817716894,0.806,0.697,9.51,SAFE
2022-09-20 10:21:03.468,nrf-351358817716894,0.866,0.644,9.44,SAFE
2022-09-20 10:21:03.468,nrf-351358817716894,0.673,0.648,9.42,SAFE
2022-09-20 10:21:03.468,nrf-351358817716894,0.540,0.678,9.26,SAFE
2022-09-20 07:03:33.948,nrf-351358817716894,4.97,6.29,38.1,SAFE
2022-09-20 07:03:33.948,nrf-351358817716894,4.65,6.30,33.3,SAFE
2022-09-20 07:03:33.948,nrf-351358817716894,5.03,8.31,30.3,SAFE
2022-09-20 07:03:33.948,nrf-351358817716894,5.12,8.73,31.1,SAFE
2022-09-20 07:03:33.948,nrf-351358817716894,4.31,5.83,25.0,SAFE
2022-09-20 05:19:15.692,nrf-351358817716894,12.0,4.51,18.1,SAFE
2022-09-20 05:19:15.692,nrf-351358817716894,4.86,1.83,12.3,SAFE
2022-09-20 05:19:15.692,nrf-351358817716894,2.36,1.71,13.0,SAFE
2022-09-20 05:19:15.692,nrf-351358817716894,2.83,2.45,15.5,SAFE
2022-09-20 05:19:15.692,nrf-351358817716894,3.42,2.34,12.3,SAFE
2022-09-20 04:09:03.966,nrf-351358817716894,3.04,2.81,10.2,SAFE
2022-09-20 04:09:03.966,nrf-351358817716894,3.17,2.43,8.74,SAFE
2022-09-20 04:09:03.966,nrf-351358817716894,3.15,2.57,9.48,SAFE
2022-09-20 04:09:03.966,nrf-351358817716894,3.04,2.15,7.04,SAFE
2022-09-20 04:09:03.966,nrf-351358817716894,2.81,2.28,7.61,SAFE
2022-09-19 20:29:18.788,nrf-351358817716894,5.59,2.18,15.4,SAFE
2022-09-19 20:29:18.788,nrf-351358817716894,5.12,2.96,25.8,SAFE
2022-09-19 20:29:18.788,nrf-351358817716894,6.85,2.81,17.0,SAFE
2022-09-19 20:29:18.788,nrf-351358817716894,5.45,2.85,19.7,SAFE
2022-09-19 20:29:18.788,nrf-351358817716894,3.42,2.91,18.5,SAFE
2022-09-19 16:05:22.685,nrf-351358817716894,4.85,9.44,28.7,SAFE
2022-09-19 16:05:22.685,nrf-351358817716894,4.91,9.34,30.5,SAFE
2022-09-19 16:05:22.685,nrf-351358817716894,4.86,8.32,30.6,SAFE
2022-09-19 16:05:22.685,nrf-351358817716894,5.15,10.9,29.5,SAFE
2022-09-19 16:05:22.685,nrf-351358817716894,4.63,8.56,30.8,SAFE
2022-09-19 15:33:36.393,nrf-351358817716894,15.6,6.37,29.3,SAFE
2022-09-19 15:33:36.393,nrf-351358817716894,14.4,5.80,26.3,SAFE
2022-09-19 15:33:36.393,nrf-351358817716894,0.976,0.816,10.2,SAFE
2022-09-19 15:33:36.393,nrf-351358817716894,0.362,0.632,9.36,SAFE
2022-09-19 15:33:36.393,nrf-351358817716894,0.325,0.622,9.27,SAFE
2022-09-19 15:12:42.006,nrf-351358817716894,5.97,8.13,38.1,SAFE
2022-09-19 15:12:42.006,nrf-351358817716894,5.07,8.03,33.0,SAFE
2022-09-19 15:12:42.006,nrf-351358817716894,5.29,6.89,29.6,SAFE
2022-09-19 15:12:42.006,nrf-351358817716894,4.30,7.72,19.5,SAFE
2022-09-19 15:12:42.006,nrf-351358817716894,2.71,1.80,2.45,SAFE
2022-09-19 14:04:56.645,nrf-351358817716894,12.9,7.62,27.1,SAFE
2022-09-19 14:04:56.645,nrf-351358817716894,0.370,0.749,9.46,SAFE
2022-09-19 14:04:56.645,nrf-351358817716894,0.317,0.820,9.41,SAFE
2022-09-19 14:04:56.645,nrf-351358817716894,0.302,0.803,9.47,SAFE
2022-09-19 14:04:56.645,nrf-351358817716894,0.295,0.716,9.34,SAFE
2022-09-19 13:39:00.981,nrf-351358817716894,4.85,9.74,29.1,SAFE
2022-09-19 13:39:00.981,nrf-351358817716894,4.24,8.56,29.0,SAFE
2022-09-19 13:39:00.981,nrf-351358817716894,3.00,2.16,4.16,SAFE
2022-09-19 13:39:00.981,nrf-351358817716894,2.83,2.01,1.99,SAFE
2022-09-19 13:39:00.981,nrf-351358817716894,2.68,1.90,2.16,SAFE
2022-09-19 13:22:40.409,nrf-351358817716894,20.3,7.94,27.3,SAFE
2022-09-19 13:22:40.409,nrf-351358817716894,21.6,9.04,39.1,SAFE
2022-09-19 13:22:40.409,nrf-351358817716894,25.8,9.80,32.8,SAFE
2022-09-19 13:22:40.409,nrf-351358817716894,22.1,7.53,26.4,SAFE
