Sensor ID,Switch
nrf-351358817716837,73W31
nrf-351358817716852,73W31
nrf-351358817716712,73W31
nrf-350916066834204,73W31
nrf-350916066833768,73W31
nrf-351358817716886,73W20
nrf-350916066834188,73W20
nrf-350916066834212,73W20
nrf-351358817716936,74W35
nrf-351358817717033,74W35
nrf-350916066834253,74W35
nrf-351358817716985,74W35
nrf-351358817716811,74W35
nrf-351358817717009,74W35
nrf-351358817716720,74W25
nrf-351358817716977,74W25
nrf-351358817717025,74W25
nrf-351358817716902,74W25
nrf-351358817716894,74W25
nrf-351358817717017,74W25
nrf-350916066833966,74W25
nrf-350916066833925,74W25
nrf-350916066833842,74W25
nrf-350916066833776,74W35
nrf-351358817716993,74W35
nrf-350916066831887,74W35
